TIME_PERIOD,EXR.A.CAD.EUR.SP00.A,EXR.A.GBP.EUR.SP00.A,EXR.A.USD.EUR.SP00.A
1999,1.583993822393823,0.658735328185329,1.065776447876448
2000,1.37058431372549,0.609477647058823,0.923612549019608
2001,1.386378740157479,0.621874015748032,0.895629527559055
2002,1.483813725490196,0.628831372549019,0.945573725490196
2003,1.581680784313727,0.691993333333333,1.131160392156863
2004,1.616749806949806,0.678658687258687,1.243902316602316
2005,1.508733852140077,0.683796303501945,1.244090272373541
2006,1.423687450980391,0.681730392156863,1.255598823529413
2007,1.467847843137256,0.684336784313726,1.370478039215687
2008,1.559421484375,0.796284570312499,1.47075546875
2009,1.584956640625,0.8909395703125,1.394782421874999
2010,1.365106201550388,0.857843914728682,1.325716666666667
2011,1.376102723735408,0.867884435797666,1.391955252918288
2012,1.284211718750001,0.810870585937499,1.284788671875001
2013,1.368372549019608,0.849255254901961,1.328118039215687
